file,superseded_by
2022_4Q_BS_20260708032348.zip,2022_4Q_BS_20260814030335.zip
2022_4Q_CF_20260708032858.zip,2022_4Q_CF_20260814030935.zip
2022_4Q_PL_20260708032634.zip,2022_4Q_PL_20260814030650.zip
2023_4Q_BS_20260711030351.zip,2023_4Q_BS_20260814044108.zip
2023_4Q_CF_20260711031043.zip,2023_4Q_CF_20260814044758.zip
2023_4Q_PL_20260711030737.zip,2023_4Q_PL_20260814044456.zip
2024_4Q_BS_20260813030455.zip,2024_4Q_BS_20260819030418.zip
2024_4Q_CF_20260813031329.zip,2024_4Q_CF_20260819031151.zip
2024_4Q_PL_20260813030928.zip,2024_4Q_PL_20260819030822.zip
2025_4Q_BS_20260813040228.zip,2025_4Q_BS_20260820030453.zip
2025_4Q_CF_20260813041018.zip,2025_4Q_CF_20260820031317.zip
2025_4Q_PL_20260813040647.zip,2025_4Q_PL_20260820030920.zip
2026_2Q_BS_20260813045649.zip,2026_2Q_BS_20260819042705.zip
2026_2Q_BS_20260814094316.zip,2026_2Q_BS_20260819042705.zip
2026_2Q_PL_20260813045904.zip,2026_2Q_PL_20260819043049.zip
2026_2Q_PL_20260814094850.zip,2026_2Q_PL_20260819043049.zip
