stock_id,stock_name,stage,refusal
1258,其祥-KY,details,該 1258 公開發行公司不繼續公開發行！
1262,綠悅-KY,details,該 1262 公開發行公司不繼續公開發行！
1333,恩得利工業股份有限公司,details,該 1333 公開發行公司不繼續公開發行！
1469,理隆纖維,details,該 1469 公開發行公司不繼續公開發行！
1507,永大,details,該 1507 公開發行公司不繼續公開發行！
1566,捷邦國際科技股份有限公司,details,該 1566 公開發行公司不繼續公開發行！
1701,中化,details,該 1701 公開發行公司不繼續公開發行！
1704,榮化,details,該 1704 公開發行公司不繼續公開發行！
1715,萬洲化學,details,該 1715 公開發行公司不繼續公開發行！
1724,台硝,details,該 1724 公開發行公司不繼續公開發行！
1729,必翔實業,details,該 1729 公開發行公司不繼續公開發行！
1787,福盈科技化學股份有限公司,details,該 1787 公開發行公司不繼續公開發行！
1902,台紙,details,該 1902 公開發行公司不繼續公開發行！
2311,日月光,details,該 2311 公開發行公司不繼續公開發行！
2315,神達電腦,details,該 2315 公開發行公司不繼續公開發行！
2325,矽品,details,該 2325 公開發行公司不繼續公開發行！
2358,廷鑫,details,該 2358 公開發行公司不繼續公開發行！
2361,	鴻友科技,details,該 2361 公開發行公司不繼續公開發行！
2437,旺詮,details,該 2437 公開發行公司不繼續公開發行！
2448,晶電,details,該 2448 公開發行公司不繼續公開發行！
2456,奇力新,details,該 2456 公開發行公司不繼續公開發行！
2463,研揚,details,該 2463 上市公司已下市！
2473,思源,details,該 2473 公開發行公司不繼續公開發行！
2475,華映,details,該 2475 公開發行公司不繼續公開發行！
2499,東貝,details,該 2499 公開發行公司不繼續公開發行！
2841,台開,details,該 2841 公開發行公司不繼續公開發行！
2847,大眾銀行,details,該 2847 公開發行公司不繼續公開發行！
2854,寶來證,details,該 2854 公開發行公司不繼續公開發行！
2856,元富證券,details,該 2856 公開發行公司不繼續公開發行！
2928,紅馬-KY,details,該 2928 公開發行公司不繼續公開發行！
2936,客思達-KY,details,該 2936 公開發行公司不繼續公開發行！
3061,璨圓,details,該 3061 公開發行公司不繼續公開發行！
3068,美磊科技股份有限公司,details,該 3068 公開發行公司不繼續公開發行！
3069,台灣金屬礦業股份有限公司,details,該 3069 公開發行公司不繼續公開發行！
3080,威力盟,details,該 3080 公開發行公司不繼續公開發行！
3087,翔準先進光罩股份有限公司,details,該 3087 公開發行公司不繼續公開發行！
3089,億杰,details,該 3089 公開發行公司不繼續公開發行！
3126,信億科技股份有限公司,details,該 3126 公開發行公司不繼續公開發行！
3144,新揚科,details,該 3144 公開發行公司不繼續公開發行！
3291,遠翔科技股份有限公司,details,該 3291 公開發行公司不繼續公開發行！
