ticker,name,market,delisting_date,reason,is_genuine
008670,굿모닝신한증권,KOSPI,2005-01-05,지주회사의 완전자회사화(지주회사 신규상장),N
005600,중앙제지,KOSPI,2005-01-06,최종부도발생,Y
035780,그로웰텔레콤,KOSDAQ,2005-01-11,액면가액일정비율미만(취소사유발생일 : 2004년 12월 24일),Y
009220,그로웰전자,KOSDAQ,2005-01-19,액면가액일정비율미만(취소사유발생일 : 2005년 01월 04일),Y
035910,현대멀티캡,KOSDAQ,2005-01-19,최종부도(등록취소사유발생일: 2005년 1월 4일),Y
037640,대경테크노스,KOSDAQ,2005-01-24,최종부도(등록취소사유발생일 : 2005년 1월 7일),Y
007910,세원화성,KOSPI,2005-02-24,신청에 의한 상장폐지,Y
037500,굿라이프5,KOSDAQ,2005-02-24,간접투자자산운용업법 제110조(구 증권투자회사법 제64조)에 의한 해산사유발생,Y
025690,동방라이텍,KOSDAQ,2005-03-12,감사의견거절(상장폐지사유 발생일 : 2005년 02월 24일),Y
004660,신동방CP,KOSPI,2005-03-30,신청에 의한 상장폐지,Y
054080,우주통신,KOSDAQ,2005-03-30,감사의견거절(상장폐지사유 발생일 : 2005년 03월 15일,Y
036880,맥시스템,KOSDAQ,2005-03-31,감사의견거절(상장폐지사유 발생일 : 2005년 03월 16일),Y
036020,한아시스템,KOSDAQ,2005-04-02,감사의견 부적정(상장폐지사유 발생일 : 2005년 03월 21일),Y
036600,지니웍스,KOSDAQ,2005-04-02,감사의견거절(상장폐지사유 발생일 : 2005년 03월 18일),Y
053250,엔에스아이,KOSDAQ,2005-04-02,감사의견거절(상장폐지사유 발생일 : 2005년 03월 19일),Y
037650,성진산업,KOSDAQ,2005-04-05,감사의견거절(상장폐지사유 발생일 : 2005년 03월 21일),Y
056500,슈마일렉트론,KOSDAQ,2005-04-05,감사의견거절(상장폐지사유 발생일 : 2005년 03월 22일),Y
018180,텔슨정보통신,KOSDAQ,2005-04-07,감사의견거절(상장폐지사유 발생일 : 2005년 03월 22일),Y
006150,한메NS,KOSPI,2005-04-08,회사정리절차 개시 신청,Y
038100,아이엠아이티,KOSDAQ,2005-04-08,감사의견거절(상장폐지사유 발생일 : 2005년 03월 23일),Y
037220,넥스텔,KOSDAQ,2005-04-09,최종부도(상장폐지사유 발생일 : 2005년 03월 24일),Y
054370,업필,KOSDAQ,2005-04-12,감사의견거절(상장폐지사유 발생일 : 2005년 03월 26일),Y
042960,창민테크,KOSDAQ,2005-04-13,감사의견거절(상장폐지사유 발생일 : 2005년 03월 28일),Y
006750,센추리,KOSPI,2005-04-14,감사의견 의견거절,Y
009360,베네데스하이텍,KOSPI,2005-04-15,감사의견 의견거절,Y
012250,셰프라인,KOSPI,2005-04-15,감사의견 의견거절,Y
036590,케이엔티,KOSDAQ,2005-04-16,자본전액잠식(상장폐지사유발생일 : 2005년 03월 31일),Y
009760,한국컴퓨터지주,KOSPI,2005-04-19,보통주 주식분포요건 미충족(일반주주 주식수 10/100미만) 2년 계속,Y
049130,하우리,KOSDAQ,2005-04-20,감사의견거절(상장폐지사유 발생일 : 2005년 03월 21일),Y
009890,맥슨텔레콤,KOSPI,2005-04-21,자본전액잠식,Y
032610,에스오케이,KOSDAQ,2005-04-21,감사의견거절(상장폐지사유 발생일 : 2005년 04월 06일),Y
036820,BET,KOSDAQ,2005-04-21,감사범위제한 한정(상장폐지사유 발생일 : 2005년 03월 21일),Y
000110,제일은행,KOSPI,2005-04-22,신청에 의한 상장폐지,Y
036900,택산아이엔씨,KOSDAQ,2005-04-23,감사의견거절,Y
032050,후야인포넷,KOSDAQ,2005-04-26,자본전액잠식(상장폐지사유 발생일 : 2005년 04월 11일),Y
044440,솔빛미디어,KOSDAQ,2005-04-26,감사의견거절(상장폐지사유 발생일 : 2005년 04월 11일),Y
001670,경남모직,KOSPI,2005-04-28,회사정리절차 법인의 상장적격성 불인정,Y
008120,모토조이,KOSPI,2005-04-28,자본전액잠식,Y
009940,대아리드선,KOSPI,2005-04-28,자본전액잠식,Y
030950,보진재,KOSDAQ,2005-04-30,경상손실 및 시가총액 50억원 미달 2회 연속(상장폐지사유 발생일 : 2005년 4월 15일),Y
046810,코리언일랙트로닉스,KOSDAQ,2005-04-30,경상손실 및 시가총액 50억원 미달 2회 연속(상장폐지사유 발생일 : 2005년 4월 15일),Y
002480,범양사,KOSDAQ,2005-05-04,주식분산기준 미달 2년 연속,Y
033220,남성알미늄,KOSDAQ,2005-05-04,주식분산기준 미달 2년 연속,Y
038960,현주컴퓨터,KOSDAQ,2005-05-11,최종부도(상장폐지사유 발생일 : 2005년 04월 25일),Y
010960,삼호개발,KOSDAQ,2005-05-12,유가증권시장 상장,N
013890,지누스,KOSPI,2005-05-18,자본전액잠식,Y
032180,이수세라믹,KOSDAQ,2005-05-25,상장폐지신청(2005.04.28),Y
008030,아이텍스필,KOSDAQ,2005-06-02,최종부도(상장폐지사유 발생일 : 2005년 05월 02일),Y
042950,미래코리아1,KOSDAQ,2005-06-04,존립기간의 만료,Y
008270,산은캐피탈,KOSPI,2005-06-16,신청에 의한 상장폐지,Y
006250,극동전선,KOSPI,2005-07-18,보통주 거래량요건 미충족(월평균거래량 1/100미만) 2분기 계속,Y
001580,신광기업,KOSPI,2005-08-05,감사의견 의견거절,Y
055810,KTC텔레콤,KOSDAQ,2005-08-13,최종부도(상장폐지사유 발생일 : 2005년 07월 29일),Y
009080,퍼시픽글라스,KOSPI,2005-08-17,해산 사유 발생,Y
037030,파워넷,KOSDAQ,2005-08-31,"최근사업연도말 현재 자본잠식률 100분의50이상의 사유로
관리종목지정 후 최근 반기말 현재 자본잠식률이 100분의 50이상",Y
038980,이지클럽,KOSDAQ,2005-09-10,최근사업연도말 기준 자본잠식률 100분의 50이상의 사유로 관리종목지정 후 법정제출기한 다음날로부터 10일이내 반기보고서 미제출,Y
070540,코크렙II,KOSPI,2005-09-15,해산 사유 발생,Y
021570,알루코,KOSDAQ,2005-10-13,최종부도(상장폐지사유 발생일 : 2005년 09월 27일),Y
057110,아이티센,KOSDAQ,2005-10-22,"최근사업연도말 현재 자본잠식률 100분의50이상의 사유로
관리종목지정된 후, 최근 반기말기준으로 감사의견거절 및
반기말 자본잠식률이 100분의 50 이상",Y
039870,피케이엘,KOSDAQ,2005-11-09,상장폐지신청(2005.10.14),Y
002860,하나은행,KOSPI,2005-12-12,지주회사의 완전자회사화(지주회사 신규상장),N
019560,한국파트너스,KOSDAQ,2005-12-24,상장폐지신청(2005.12.21),Y
014010,인터피온반도체,KOSPI,2005-12-28,감사의견 의견거절,Y
023420,유진종합개발,KOSDAQ,2005-12-31,피흡수합병,N
056060,세니콘,KOSDAQ,2006-04-08,감사범위제한으로 인한 의견거절(상장폐지사유 발생일 : 2006년 03월 27일),Y
039110,에스피컴텍,KOSDAQ,2006-04-15,2사업연도 연속 매출액 30억원 미달(상장폐지사유 발생일 : 2006년 03월 31일),Y
049370,CJ엔터테인,KOSDAQ,2006-04-20,피흡수합병,N
041500,대한바이오,KOSDAQ,2006-04-25,2사업연도 연속 매출액 30억원 미달(상장폐지사유일 : 2006년 04월 10일),Y
066480,휘튼,KOSDAQ,2006-04-25,감사의견거절(상장폐지사유발생일 : 2006년 4월 10일),Y
035510,신세계I&C,KOSDAQ,2006-05-18,유가증권시장 상장,N
