ticker,delisting_date,reason,is_genuine_keyword,is_genuine,rule,evidence
008670,2005-01-05,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
009080,2005-08-17,해산 사유 발생,Y,N,dissolution-post-merger,20050418000188 회사합병결정 20050418
070540,2005-09-15,해산 사유 발생,Y,N,spc-end-of-life,corp_name=(주)코크렙제2호기업구조조정부동산투자회사
002860,2005-12-12,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
063510,2006-07-21,해산 사유 발생,Y,N,dissolution-post-merger,20060615000060 [기재정정]회사합병결정 20060615
003330,2006-10-26,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
003040,2006-11-21,해산 사유 발생,Y,N,dissolution-post-merger,20060822000149 [기재정정]회사합병결정 20060822
006600,2006-11-22,해산 사유 발생,Y,N,dissolution-post-merger,20060821000023 [기재정정]회사합병결정 20060821
085450,2007-01-26,해산 사유 발생,Y,N,spc-end-of-life,corp_name=굿앤리치부동산공경매투자회사1호
067910,2007-05-10,해산 사유 발생,Y,N,spc-end-of-life,corp_name=(주)코크렙제1호기업구조조정부동산투자회사
001830,2007-05-21,해산 사유 발생,Y,N,dissolution-post-merger,20070216000164 회사합병결정 20070216
011020,2007-06-15,해산 사유 발생,Y,N,dissolution-post-merger,20070410001048 [기재정정]회사합병결정 20070410
005330,2007-06-20,해산 사유 발생,Y,N,dissolution-post-merger,20070410001259 [기재정정]회사합병결정 20070410
032710,2007-10-10,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
012990,2007-11-15,해산 사유 발생,Y,N,dissolution-post-merger,20071031000229 [기재정정]회사합병결정 20071031
073470,2008-08-04,해산 사유 발생,Y,N,spc-end-of-life,corp_name=유레스메리츠제1호
073530,2008-08-08,해산 사유 발생,Y,N,spc-end-of-life,corp_name=코크렙제3호CR리츠
003660,2008-08-20,해산 사유 발생,Y,N,dissolution-post-merger,20080515000697 회사합병결정 20080515
088510,2008-08-25,해산 사유 발생,Y,N,spc-end-of-life,corp_name=굿앤리치부동산공경매투자회사2호
060000,2008-10-10,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
103160,2009-04-13,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
032390,2009-06-23,해산 사유 발생,Y,N,dissolution-post-merger,20090403001245 [기재정정]회사합병결정 20090403
042100,2009-07-16,해산 사유 발생,Y,N,dissolution-post-merger,20090406001833 주요사항보고서(합병결정) 20090406
001370,2009-08-17,해산 사유 발생,Y,N,manual,"Merged into (주)코오롱; 회사합병결정 filed acquirer-side under 코오롱's corp_code so acquiree-side DART query returns nothing. ref: ko.wikipedia.org/wiki/코오롱, namu.wiki/w/코오롱"
076850,2009-10-09,해산 사유 발생,Y,N,spc-end-of-life,corp_name=(주)맥쿼리센트럴오피스기업구조조정부동산투자회사
015940,2010-01-15,해산 사유 발생,Y,N,dissolution-post-merger,20091015000231 주요사항보고서(합병결정) 20091015
045820,2010-01-15,해산 사유 발생,Y,N,dissolution-post-merger,20091015000250 주요사항보고서(합병결정) 20091015
000610,2010-01-20,해산 사유 발생,Y,N,dissolution-post-merger,20090807000104 [기재정정]주요사항보고서(합병결정) 20090807
108070,2010-04-14,해산 사유 발생,Y,N,dissolution-post-merger,20091215000212 주요사항보고서(합병결정) 20091215
012420,2010-04-21,해산 사유 발생,Y,N,dissolution-post-merger,20091218000227 [기재정정]주요사항보고서(합병결정) 20091218
027840,2010-07-14,해산 사유 발생,Y,N,dissolution-post-merger,20100420000140 [기재정정]주요사항보고서(합병결정) 20100420
114410,2010-07-16,해산 사유 발생,Y,N,dissolution-post-merger,20100413000185 주요사항보고서(합병결정) 20100413
084160,2010-10-15,해산 사유 발생,Y,N,spc-end-of-life,corp_name=골든브릿지더블유엠경매부동산일호투자회사
094950,2011-01-05,해산 사유 발생,Y,N,spc-end-of-life,corp_name=GB 블루오션베트남주식혼합형 투자회사 1호
045710,2011-03-22,해산 사유 발생,Y,N,dissolution-post-merger,20110223000249 [기재정정]주요사항보고서(합병결정) 20110223
005280,2011-03-30,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
004620,2011-05-17,해산 사유 발생,Y,N,dissolution-post-merger,20110215000223 주요사항보고서(합병결정) 20110215
005270,2011-06-07,지주회사의 완전자회사화(지주회사 신규상장),N,Y,holdco-new-listing,"reason ends in '지주회사 신규상장' — restructure, not exit"
016510,2011-07-18,해산 사유 발생,Y,N,dissolution-post-merger,20110406000408 주요사항보고서(합병결정) 20110406
103150,2011-09-26,해산 사유 발생,Y,N,dissolution-post-merger,20110706000067 [첨부정정]주요사항보고서(합병결정) 20110706
022520,2012-01-11,해산 사유 발생,Y,N,dissolution-post-merger,20111012000119 [기재정정]주요사항보고서(합병결정) 20111012
093820,2012-02-01,해산 사유 발생,Y,N,spc-end-of-life,corp_name=한국 베트남15-1유전 해외자원개발투자회사
098150,2012-04-23,해산 사유 발생,Y,N,spc-end-of-life,corp_name=한국월드와이드아시아태평양특별자산1호투자회사
064420,2013-01-15,해산 사유 발생,Y,N,dissolution-post-merger,20120817000307 [기재정정]주요사항보고서(합병결정) 20120820
