index,ticker,name,in_date,in_source,out_date,out_source
코스피 200,000010,조흥은행,,initial,2004-03-31,log
코스피 200,000020,동화약품,,initial,2004-06-11,log
코스피 200,000030,우리은행,,initial,2000-12-19,log
코스피 200,000060,메리츠화재,,initial,1999-06-11,log
코스피 200,000070,삼양홀딩스,,initial,2022-12-09,log
코스피 200,000100,유한양행,,initial,,
코스피 200,000110,제일은행,,initial,1999-09-10,log
코스피 200,000120,CJ대한통운,,initial,1999-06-11,log
코스피 200,000140,하이트진로홀딩스,,initial,2017-06-09,log
코스피 200,000150,두산,,initial,,
코스피 200,000180,성창기업,,initial,2000-06-09,log
코스피 200,000200,대우중공업,,initial,1999-12-10,log
코스피 200,000210,DL,,initial,,
코스피 200,000230,일동홀딩스,,initial,1999-06-11,log
코스피 200,000240,한국앤컴퍼니,,initial,,
코스피 200,000280,동아건설,,initial,2000-11-02,log
코스피 200,000360,삼환기업,,initial,2000-06-09,log
코스피 200,000420,로케트전기,,initial,2000-06-09,log
코스피 200,000640,동아쏘시오홀딩스,,initial,2020-12-11,log
코스피 200,000660,SK하이닉스,,initial,,
코스피 200,000700,한진해운홀딩스,,initial,2014-09-12,log
코스피 200,000720,현대건설,,initial,2001-04-02,log
코스피 200,000800,경남기업,,initial,1999-06-11,log
코스피 200,000830,삼성물산,,initial,2015-09-01,log
코스피 200,000880,한화,,initial,,
코스피 200,000990,DB하이텍,,initial,2015-06-12,log
코스피 200,001020,페이퍼코리아,,initial,2000-06-09,log
코스피 200,001040,CJ,,initial,,
코스피 200,001060,JW중외제약,,initial,2011-06-10,log
코스피 200,001120,LX인터내셔널,,initial,1999-06-11,log
코스피 200,001150,서통,,initial,2000-06-09,log
코스피 200,001160,신원제이엠씨,,initial,1999-06-11,log
코스피 200,001230,동국제강,,initial,2003-04-23,log
코스피 200,001300,제일모직,,initial,2014-06-27,log
코스피 200,001310,풍림산업,,initial,1999-06-11,log
코스피 200,001370,FnC코오롱,,initial,1999-06-11,log
코스피 200,001380,SG글로벌,,initial,1999-06-11,log
코스피 200,001440,대한전선,,initial,2015-04-14,log
코스피 200,001450,현대해상,,initial,1999-06-11,log
코스피 200,001470,삼부토건,,initial,1999-06-11,log
코스피 200,001520,동양,,initial,2003-06-13,log
코스피 200,001630,종근당홀딩스,,initial,2003-06-13,log
코스피 200,001680,대상,,initial,,
코스피 200,001720,신영증권,,initial,1999-06-11,log
코스피 200,001740,SK네트웍스,,initial,1999-06-11,log
코스피 200,001790,대한제당,,initial,2003-06-13,log
코스피 200,001800,오리온홀딩스,,initial,,
코스피 200,001830,동부일렉트로닉스,,initial,2007-04-27,log
코스피 200,001940,KISCO홀딩스,,initial,2011-06-10,log
코스피 200,001980,대호,,initial,1999-06-11,log
코스피 200,002000,한국유리,,initial,2005-04-01,log
코스피 200,002020,코오롱,,initial,2015-03-13,log
코스피 200,002030,아세아,,initial,2012-06-15,log
코스피 200,002300,한국제지,,initial,2011-06-10,log
코스피 200,002310,아세아제지,,initial,2001-06-15,log
코스피 200,002320,한진,,initial,1999-06-11,log
코스피 200,002380,KCC,,initial,,
코스피 200,002550,LIG손해보험,,initial,1999-06-11,log
코스피 200,002610,LGEI,,initial,2003-02-27,log
코스피 200,002740,동양화학,,initial,2001-04-16,log
코스피 200,002790,아모레퍼시픽홀딩스,,initial,,
코스피 200,002860,하나은행,,initial,1999-09-10,log
코스피 200,002950,두산건설,,initial,1999-06-11,log
코스피 200,002990,금호산업,,initial,2010-06-11,log
코스피 200,003000,부광약품,,initial,2022-06-10,log
코스피 200,003030,세아제강지주,,initial,2018-12-14,log
코스피 200,003050,넥상스코리아,,initial,2004-06-11,log
코스피 200,003090,대웅,,initial,2003-06-13,log
코스피 200,003300,한일홀딩스,,initial,2019-06-14,log
코스피 200,003410,쌍용C&E,,initial,2001-04-02,log
코스피 200,003450,현대증권,,initial,2016-10-17,log
코스피 200,003470,동양종금증권,,initial,1999-06-11,log
코스피 200,003480,한진중공업홀딩스,,initial,2013-06-14,log
코스피 200,003490,대한항공,,initial,,
코스피 200,003540,대신증권,,initial,2000-06-09,log
코스피 200,003550,LG,,initial,2006-06-09,log
코스피 200,003600,SK,,initial,2015-08-03,log
코스피 200,003610,방림,,initial,2000-06-09,log
