date,index,action,isin,ticker,name
2010-03-30,코스닥 150,ADD,KR7034940007,034940,조아제약
2010-03-30,코스닥 150,REMOVE,KR7089240006,089240,네오세미테크
2010-04-29,코스닥 150,ADD,KR7040420002,040420,정상제이엘에스
2010-06-11,코스닥 150,ADD,KR7016170003,016170,로엔
2010-06-11,코스닥 150,ADD,KR7029480001,029480,케이디씨
2010-06-11,코스닥 150,ADD,KR7030530000,030530,아토
2010-06-11,코스닥 150,ADD,KR7036540003,036540,STS반도체
2010-06-11,코스닥 150,ADD,KR7036710002,036710,심텍
2010-06-11,코스닥 150,ADD,KR7037370004,037370,EG
2010-06-11,코스닥 150,ADD,KR7039560008,039560,다산네트웍스
2010-06-11,코스닥 150,ADD,KR7043650001,043650,국순당
2010-06-11,코스닥 150,ADD,KR7043890003,043890,한빛방송
2010-06-11,코스닥 150,ADD,KR7052270006,052270,우전앤한단
2010-06-11,코스닥 150,ADD,KR7052860004,052860,아이앤씨
2010-06-11,코스닥 150,ADD,KR7062860002,062860,티엘아이
2010-06-11,코스닥 150,ADD,KR7063080006,063080,게임빌
2010-06-11,코스닥 150,ADD,KR7078070000,078070,유비쿼스
2010-06-11,코스닥 150,ADD,KR7078340007,078340,컴투스
2010-06-11,코스닥 150,ADD,KR7087220000,087220,스틸플라워
2010-06-11,코스닥 150,ADD,KR7099220006,099220,SDN
2010-06-11,코스닥 150,ADD,KR7100130004,100130,동국S&C
2010-06-11,코스닥 150,ADD,KR7101730000,101730,조이맥스
2010-06-11,코스닥 150,ADD,KR7110310000,110310,모린스
2010-06-11,코스닥 150,REMOVE,KR7010670008,010670,나노트로닉스
2010-06-11,코스닥 150,REMOVE,KR7011040003,011040,경동제약
2010-06-11,코스닥 150,REMOVE,KR7012650008,012650,쌍용건설
2010-06-11,코스닥 150,REMOVE,KR7017890005,017890,한국알콜
2010-06-11,코스닥 150,REMOVE,KR7028080000,028080,휴맥스홀딩스
2010-06-11,코스닥 150,REMOVE,KR7034940007,034940,조아제약
2010-06-11,코스닥 150,REMOVE,KR7039230008,039230,TSC 멤시스
2010-06-11,코스닥 150,REMOVE,KR7040740003,040740,아인스M&M
2010-06-11,코스닥 150,REMOVE,KR7043150002,043150,바텍
2010-06-11,코스닥 150,REMOVE,KR7052330008,052330,코텍
2010-06-11,코스닥 150,REMOVE,KR7052770005,052770,와이디온라인
2010-06-11,코스닥 150,REMOVE,KR7065130007,065130,탑엔지니어링
2010-06-11,코스닥 150,REMOVE,KR7065690000,065690,대진디엠피
2010-06-11,코스닥 150,REMOVE,KR7066700006,066700,테라젠
2010-06-11,코스닥 150,REMOVE,KR7067290007,067290,중외신약
2010-06-11,코스닥 150,REMOVE,KR7072020001,072020,중앙백신
2010-06-11,코스닥 150,REMOVE,KR7082270000,082270,젬백스
2010-06-11,코스닥 150,REMOVE,KR7083790006,083790,크리스탈
2010-06-11,코스닥 150,REMOVE,KR7086450004,086450,동국제약
2010-06-11,코스닥 150,REMOVE,KR7093920007,093920,서원인텍
2010-06-18,코스닥 150,ADD,KR7031980006,031980,피에스케이
2010-06-18,코스닥 150,REMOVE,KR7066930009,066930,에스디
2010-12-10,코스닥 150,ADD,KR7006910004,006910,보성파워텍
2010-12-10,코스닥 150,ADD,KR7012650008,012650,쌍용건설
2010-12-10,코스닥 150,ADD,KR7036210003,036210,태산엘시디
2010-12-10,코스닥 150,ADD,KR7038880001,038880,씨앤에스
2010-12-10,코스닥 150,ADD,KR7041140005,041140,게임하이
2010-12-10,코스닥 150,ADD,KR7041510009,041510,에스엠
2010-12-10,코스닥 150,ADD,KR7043370006,043370,평화정공
2010-12-10,코스닥 150,ADD,KR7050470004,050470,CT&T
2010-12-10,코스닥 150,ADD,KR7051370005,051370,인터플렉스
2010-12-10,코스닥 150,ADD,KR7051820009,051820,아이피에스
2010-12-10,코스닥 150,ADD,KR7078160009,078160,메디포스트
2010-12-10,코스닥 150,ADD,KR7080000003,080000,에스엔유
2010-12-10,코스닥 150,ADD,KR7082270000,082270,젬백스
2010-12-10,코스닥 150,ADD,KR7084370006,084370,유진테크
2010-12-10,코스닥 150,ADD,KR7096640008,096640,멜파스
2010-12-10,코스닥 150,ADD,KR7112040001,112040,위메이드
2010-12-10,코스닥 150,ADD,KR7115160004,115160,휴맥스
2010-12-10,코스닥 150,REMOVE,KR7016170003,016170,로엔
2010-12-10,코스닥 150,REMOVE,KR7026150003,026150,특수건설
2010-12-10,코스닥 150,REMOVE,KR7033160003,033160,엠케이전자
2010-12-10,코스닥 150,REMOVE,KR7034600007,034600,글로웍스
2010-12-10,코스닥 150,REMOVE,KR7040160004,040160,누리텔레콤
2010-12-10,코스닥 150,REMOVE,KR7040300006,040300,YTN
2010-12-10,코스닥 150,REMOVE,KR7042420000,042420,네오위즈
2010-12-10,코스닥 150,REMOVE,KR7043890003,043890,한빛방송
2010-12-10,코스닥 150,REMOVE,KR7052270006,052270,우전앤한단
2010-12-10,코스닥 150,REMOVE,KR7052790003,052790,액토즈소프트
2010-12-10,코스닥 150,REMOVE,KR7053030003,053030,바이넥스
2010-12-10,코스닥 150,REMOVE,KR7054450002,054450,텔레칩스
2010-12-10,코스닥 150,REMOVE,KR7054940002,054940,엑사이엔씨
2010-12-10,코스닥 150,REMOVE,KR7058630005,058630,엠게임
2010-12-10,코스닥 150,REMOVE,KR7066340001,066340,케이에스알
2010-12-10,코스닥 150,REMOVE,KR7084990001,084990,바이로메드
2010-12-10,코스닥 150,REMOVE,KR7101730000,101730,조이맥스
2010-12-29,코스닥 150,ADD,KR7036000008,036000,예림당
2010-12-29,코스닥 150,ADD,KR7067160002,067160,나우콤
2010-12-29,코스닥 150,REMOVE,KR7051820009,051820,아이피에스
2010-12-29,코스닥 150,REMOVE,KR7084450006,084450,세실
2011-03-21,코스닥 150,ADD,KR7079950002,079950,LIG에이디피
2011-03-21,코스닥 150,REMOVE,KR7037150000,037150,CJ인터넷
2011-03-25,코스닥 150,ADD,KR7036890002,036890,진성티이씨
2011-03-25,코스닥 150,REMOVE,KR7089480008,089480,평산
2011-03-29,코스닥 150,ADD,KR7032500001,032500,케이엠더블유
2011-03-29,코스닥 150,ADD,KR7054620000,054620,AP시스템
2011-03-29,코스닥 150,REMOVE,KR7032290009,032290,알티전자
2011-03-29,코스닥 150,REMOVE,KR7050470004,050470,CT&T
2011-04-01,코스닥 150,ADD,KR7080520000,080520,오디텍
2011-04-01,코스닥 150,REMOVE,KR7049690001,049690,포휴먼
2011-04-08,코스닥 150,ADD,KR7101390003,101390,아이엠
2011-04-08,코스닥 150,REMOVE,KR7060750007,060750,제이콤
2011-06-10,코스닥 150,ADD,KR7009520008,009520,포스코엠텍
2011-06-10,코스닥 150,ADD,KR7016170003,016170,로엔
2011-06-10,코스닥 150,ADD,KR7016250003,016250,이테크건설
2011-06-10,코스닥 150,ADD,KR7066700006,066700,테라젠이텍스
2011-06-10,코스닥 150,ADD,KR7067000000,067000,JCE
2011-06-10,코스닥 150,ADD,KR7067310003,067310,하나마이크론
2011-06-10,코스닥 150,ADD,KR7073110009,073110,엘엠에스
2011-06-10,코스닥 150,ADD,KR7078520004,078520,에이블씨엔씨
2011-06-10,코스닥 150,ADD,KR7096530001,096530,씨젠
2011-06-10,코스닥 150,ADD,KR7108230004,108230,톱텍
2011-06-10,코스닥 150,ADD,KR7108320003,108320,실리콘웍스
2011-06-10,코스닥 150,ADD,KR7114120009,114120,크루셜텍
2011-06-10,코스닥 150,ADD,KR7130960008,130960,CJ E&M
2011-06-10,코스닥 150,REMOVE,KR7022520001,022520,코오롱아이넷
2011-06-10,코스닥 150,REMOVE,KR7025900002,025900,동화홀딩스
2011-06-10,코스닥 150,REMOVE,KR7032500001,032500,케이엠더블유
2011-06-10,코스닥 150,REMOVE,KR7033050006,033050,제이엠아이
2011-06-10,코스닥 150,REMOVE,KR7045100005,045100,한양이엔지
2011-06-10,코스닥 150,REMOVE,KR7052860004,052860,아이앤씨
2011-06-10,코스닥 150,REMOVE,KR7054050000,054050,농우바이오
2011-06-10,코스닥 150,REMOVE,KR7054340005,054340,피앤텔
2011-06-10,코스닥 150,REMOVE,KR7054540000,054540,삼영엠텍
2011-06-10,코스닥 150,REMOVE,KR7062860002,062860,티엘아이
2011-06-10,코스닥 150,REMOVE,KR7067160002,067160,나우콤
