index,date,n_actual,n_recon,matches,only_actual,only_recon,only_actual_tickers,only_recon_tickers
코스피 200,2004-01-30,200,200,200,0,0,,
코스피 200,2004-02-27,200,200,200,0,0,,
코스피 200,2004-03-31,200,200,200,0,0,,
코스피 200,2004-04-30,200,200,200,0,0,,
코스피 200,2004-05-31,200,200,200,0,0,,
코스피 200,2004-06-30,200,200,200,0,0,,
코스피 200,2004-07-30,200,200,200,0,0,,
코스피 200,2004-08-31,200,200,200,0,0,,
코스피 200,2004-09-30,200,200,200,0,0,,
코스피 200,2004-10-29,200,200,200,0,0,,
코스피 200,2004-11-30,200,200,200,0,0,,
코스피 200,2005-01-31,200,200,200,0,0,,
코스피 200,2005-02-28,200,200,200,0,0,,
코스피 200,2005-03-31,200,200,200,0,0,,
코스피 200,2005-04-29,200,200,200,0,0,,
코스피 200,2005-05-31,200,200,200,0,0,,
코스피 200,2005-06-30,200,200,200,0,0,,
코스피 200,2005-07-29,200,200,200,0,0,,
코스피 200,2005-08-31,200,200,200,0,0,,
코스피 200,2005-09-30,200,200,200,0,0,,
코스피 200,2005-10-31,200,200,200,0,0,,
코스피 200,2005-11-30,200,200,200,0,0,,
코스피 200,2006-01-31,200,200,200,0,0,,
코스피 200,2006-02-28,200,200,200,0,0,,
코스피 200,2006-03-31,200,200,200,0,0,,
코스피 200,2006-04-28,200,200,200,0,0,,
코스피 200,2006-06-30,200,200,200,0,0,,
코스피 200,2006-07-31,200,200,200,0,0,,
코스피 200,2006-08-31,200,200,200,0,0,,
코스피 200,2006-09-29,200,200,200,0,0,,
코스피 200,2006-10-31,200,200,200,0,0,,
코스피 200,2006-11-30,200,200,200,0,0,,
코스피 200,2007-01-31,200,200,200,0,0,,
코스피 200,2007-02-28,200,200,200,0,0,,
코스피 200,2007-03-30,200,200,200,0,0,,
코스피 200,2007-04-30,200,200,200,0,0,,
코스피 200,2007-05-31,200,200,200,0,0,,
코스피 200,2007-06-29,200,200,200,0,0,,
코스피 200,2007-07-31,200,200,200,0,0,,
코스피 200,2007-08-31,200,200,200,0,0,,
코스피 200,2007-09-28,200,200,200,0,0,,
코스피 200,2007-10-31,200,200,200,0,0,,
코스피 200,2007-11-30,200,200,200,0,0,,
코스피 200,2008-01-31,200,200,200,0,0,,
코스피 200,2008-02-29,200,200,200,0,0,,
코스피 200,2008-03-31,200,200,200,0,0,,
코스피 200,2008-04-30,200,200,200,0,0,,
코스피 200,2008-05-30,200,200,200,0,0,,
코스피 200,2008-06-30,200,200,200,0,0,,
코스피 200,2008-07-31,200,200,200,0,0,,
코스피 200,2008-08-29,200,200,200,0,0,,
코스피 200,2008-09-30,200,200,200,0,0,,
코스피 200,2008-10-31,200,200,200,0,0,,
코스피 200,2008-11-28,200,200,200,0,0,,
코스피 200,2009-01-30,200,200,200,0,0,,
코스피 200,2009-02-27,200,200,200,0,0,,
코스피 200,2009-03-31,200,200,200,0,0,,
코스피 200,2009-04-30,200,200,200,0,0,,
코스피 200,2009-05-29,200,200,200,0,0,,
코스피 200,2009-06-30,200,200,200,0,0,,
코스피 200,2009-07-31,200,200,200,0,0,,
코스피 200,2009-08-31,200,200,200,0,0,,
코스피 200,2009-09-30,200,200,200,0,0,,
코스피 200,2009-10-30,200,200,200,0,0,,
코스피 200,2009-11-30,200,200,200,0,0,,
코스피 200,2010-01-29,200,200,200,0,0,,
코스피 200,2010-02-26,200,200,200,0,0,,
코스피 200,2010-03-31,200,200,200,0,0,,
코스피 200,2010-04-30,200,200,200,0,0,,
코스피 200,2010-05-31,200,200,200,0,0,,
코스피 200,2010-06-30,200,200,200,0,0,,
코스피 200,2010-07-30,200,200,200,0,0,,
코스피 200,2010-08-31,200,200,200,0,0,,
코스피 200,2010-09-30,200,200,200,0,0,,
코스피 200,2010-10-29,200,200,200,0,0,,
코스피 200,2010-11-30,200,200,200,0,0,,
코스피 200,2011-01-31,200,200,200,0,0,,
코스피 200,2011-02-28,200,200,200,0,0,,
코스피 200,2011-03-31,200,200,200,0,0,,
코스피 200,2011-04-29,200,200,200,0,0,,
코스피 200,2011-05-31,200,200,200,0,0,,
코스피 200,2011-06-30,200,200,200,0,0,,
코스피 200,2011-07-29,200,200,200,0,0,,
코스피 200,2011-08-31,200,200,200,0,0,,
코스피 200,2011-09-30,200,200,200,0,0,,
코스피 200,2011-10-31,200,200,200,0,0,,
코스피 200,2011-11-30,200,200,200,0,0,,
코스피 200,2012-01-31,200,200,200,0,0,,
코스피 200,2012-02-29,200,200,200,0,0,,
코스피 200,2012-03-30,200,200,200,0,0,,
코스피 200,2012-04-30,200,200,200,0,0,,
코스피 200,2012-05-31,200,200,200,0,0,,
코스피 200,2012-06-29,200,200,200,0,0,,
코스피 200,2012-07-31,200,200,200,0,0,,
코스피 200,2012-08-31,200,200,200,0,0,,
코스피 200,2012-09-28,200,200,200,0,0,,
코스피 200,2012-10-31,200,200,200,0,0,,
코스피 200,2012-11-30,200,200,200,0,0,,
코스피 200,2013-01-31,200,200,200,0,0,,
코스피 200,2013-02-28,200,200,200,0,0,,
코스피 200,2013-03-29,200,200,200,0,0,,
코스피 200,2013-04-30,200,200,200,0,0,,
코스피 200,2013-05-31,200,200,200,0,0,,
코스피 200,2013-06-28,200,200,200,0,0,,
코스피 200,2013-07-31,200,200,200,0,0,,
코스피 200,2013-08-30,200,200,200,0,0,,
코스피 200,2013-09-30,200,200,200,0,0,,
코스피 200,2013-10-31,200,200,200,0,0,,
코스피 200,2013-11-29,200,200,200,0,0,,
코스피 200,2014-02-28,200,200,200,0,0,,
코스피 200,2014-03-31,200,200,200,0,0,,
코스피 200,2014-04-30,200,200,200,0,0,,
코스피 200,2014-05-30,200,200,200,0,0,,
코스피 200,2014-06-30,200,200,200,0,0,,
코스피 200,2014-07-31,200,200,200,0,0,,
코스피 200,2014-08-29,200,200,200,0,0,,
코스피 200,2014-09-30,200,200,200,0,0,,
코스피 200,2014-10-31,200,200,200,0,0,,
