index,date,action,ticker,name
코스피 200,2004-01-30,REMOVE,009050,대한알미늄
코스피 200,2006-01-31,REMOVE,002860,하나은행
코스피 200,2004-01-30,REMOVE,008810,LG종금
코스피 200,2014-11-28,REMOVE,053000,우리금융
코스피 200,2004-01-30,REMOVE,014740,금호케미칼
코스피 200,2004-01-30,REMOVE,018550,한국안전유리
코스피 200,2011-06-30,REMOVE,005270,대구은행
코스피 200,2007-06-29,REMOVE,011020,코오롱유화
코스피 200,2011-03-31,REMOVE,005280,부산은행
코스피 200,2019-02-28,REMOVE,000030,우리은행
코스피 200,2008-10-31,REMOVE,060000,국민은행
코스피 200,2004-01-30,REMOVE,010110,고려화학
코스닥 150,2017-07-31,REMOVE,035720,카카오
코스닥 150,2018-02-28,REMOVE,068270,셀트리온
코스닥 150,2015-07-31,REMOVE,078520,에이블씨엔씨
코스닥 150,2019-03-29,REMOVE,192080,더블유게임즈
코스닥 150,2019-10-31,REMOVE,036420,제이콘텐트리
코스닥 150,2019-05-31,REMOVE,003670,포스코케미칼
코스닥 150,2021-07-30,REMOVE,097520,엠씨넥스
코스닥 150,2021-08-31,REMOVE,178920,PI첨단소재
코스닥 150,2016-07-29,REMOVE,026960,동서
